running 25 mutations

  killed   remove-private-address-clamp             [I1]
  killed   remove-response-size-clamp               [I1]
  killed   remove-host-allowlist-intersection       [I1]
  killed   remove-embedded-ipv4-normalisation       [I2]
  killed   allow-loopback-when-private-permitted    [I2]
  killed   accept-any-scheme                        [I2]
  killed   remove-address-pinning                   [I3]
  killed   accept-one-good-address-of-many          [I3]
  killed   allow-arbitrary-secret-storage           [I6]
  killed   ignore-secret-ownership                  [I6]
  killed   publish-literal-header-values            [I7]
  killed   stop-inheriting-sensitivity              [I7]
  killed   dead-letter-on-the-row-not-the-policy    [I8]
  killed   skip-the-duplicate-window-gate           [I8]
  killed   accept-any-aggregate-version             [I8]
  killed   stop-classifying-malformed-envelopes     [I8]
  killed   treat-legacy-events-as-v1                [I8]
  killed   make-revoked-executable                  [I12]
  killed   admit-unknown-states                     [I12]
  killed   consult-refusal-map-before-the-guard     [I12]
  killed   allow-enable-without-validation          [I12]
  killed   allow-revoked-to-be-re-enabled           [I12]
  killed   drop-the-reason-requirement-on-revocation [I12]
  killed   let-creation-skip-the-machine            [I12]
  killed   look-for-a-self-loop-instead-of-an-incoming-edge [I12]

killed 25/25
